year,month,day,gender,births
1979, 1, 30, M, 4975
1979, 4, 27, M, 4975
1980, 5, 9, M, 4975
1969, 2, 21, M, 4976
1969, 3, 12, M, 4976
1976, 9, 3, M, 4976
1979, 1, 25, M, 4976
1979, 3, 29, M, 4976
1981, 1, 29, M, 4976
1979, 4, 6, M, 4977
1984, 4, 20, M, 4977
1969, 4, 10, M, 4978
1969, 8, 23, M, 4978
1969, 10, 4, M, 4978
1970, 4, 15, M, 4978
1971, 8, 28, M, 4978
1971, 10, 27, M, 4978
1984, 1, 9, M, 4978
1980, 2, 27, M, 4979
1970, 10, 24, M, 4980
1979, 5, 10, M, 4980
1987, 9, 19, M, 4980
1977, 3, 15, M, 4981
1979, 3, 16, M, 4981
1979, 11, 29, M, 4981
1988, 8, 20, M, 4981
1976, 9, 13, M, 4982
1979, 10, 18, M, 4983
1970, 4, 29, M, 4984
1970, 4, 30, M, 4984
1976, 12, 17, M, 4984
1978, 11, 10, M, 4984
1975, 8, 26, M, 4985
1978, 5, 26, M, 4985
1980, 4, 18, M, 4985
1973, 9, 14, M, 4986
1975, 9, 3, M, 4986
1977, 10, 20, M, 4986
1978, 6, 20, M, 4986
1979, 4, 30, M, 4986
1972, 9, 5, M, 4987
1969, 9, 6, M, 4988
1972, 8, 18, M, 4988
1972, 5, 23, M, 4989
1977, 7, 1, M, 4989
1980, 4, 30, M, 4989
1970, 4, 16, M, 4990
1971, 10, 28, M, 4990
1978, 2, 14, M, 4990
1978, 11, 27, M, 4990
1977, 2, 23, M, 4991
1979, 6, 8, M, 4991
1977, 3, 4, M, 4992
1977, 11, 17, M, 4992
1977, 3, 29, M, 4993
1978, 6, 19, M, 4993
1969, 1, 3, M, 4994
1971, 4, 30, M, 4994
1971, 5, 12, M, 4994
1971, 6, 16, M, 4994
1972, 8, 28, M, 4994
1977, 6, 29, M, 4995
1988, 8, 27, M, 4995
1969, 2, 10, M, 4996
1969, 3, 26, M, 4996
1970, 8, 30, M, 4996
1979, 2, 22, M, 4996
1982, 7, 24, M, 4996
1969, 8, 16, M, 4998
1971, 6, 23, M, 4998
1974, 10, 10, M, 4998
1978, 11, 20, M, 4998
1978, 11, 7, M, 4999
1985, 12, 23, M, 4999
1986, 11, 28, M, 4999
1970, 3, 30, M, 5000
1971, 12, 27, M, 5000
1973, 12, 18, M, 5000
1975, 8, 12, M, 5000
1979, 6, 4, M, 5000
1979, 12, 31, M, 5000
1981, 11, 27, M, 5000
1977, 6, 21, M, 5001
1969, 2, 5, M, 5002
1969, 3, 31, M, 5002
1970, 1, 22, M, 5002
1980, 2, 4, M, 5002
1982, 7, 31, M, 5002
1974, 9, 12, M, 5003
1978, 3, 21, M, 5003
1979, 4, 3, M, 5003
1979, 5, 31, M, 5003
1980, 4, 17, M, 5003
1981, 5, 11, M, 5003
1984, 9, 15, M, 5003
1971, 4, 22, M, 5004
1972, 3, 3, M, 5004
1978, 6, 29, M, 5004
1979, 3, 21, M, 5004
1981, 9, 19, M, 5004
1972, 11, 21, M, 5005
1972, 12, 15, M, 5005
1977, 11, 29, M, 5005
1969, 1, 30, M, 5006
1970, 6, 1, M, 5006
1970, 11, 14, M, 5006
1971, 5, 26, M, 5006
1977, 7, 5, M, 5006
1978, 10, 12, M, 5006
1979, 5, 29, M, 5006
1979, 5, 30, M, 5006
1985, 9, 22, M, 5006
1975, 8, 6, M, 5007
1978, 10, 4, M, 5007
1981, 3, 9, M, 5007
1984, 5, 17, M, 5007
1984, 5, 7, M, 5008
1972, 9, 21, M, 5009
1983, 11, 30, M, 5009
1972, 7, 18, M, 5010
1979, 5, 21, M, 5010
1980, 3, 13, M, 5010
1981, 5, 13, M, 5010
1986, 9, 6, M, 5010
1978, 12, 5, M, 5011
1969, 6, 3, M, 5012
1970, 1, 8, M, 5012
1970, 4, 24, M, 5012
1972, 9, 20, M, 5012
1979, 2, 21, M, 5012
1979, 3, 30, M, 5012
1980, 1, 8, M, 5012
1984, 1, 13, M, 5012
1972, 8, 17, M, 5013
1982, 1, 7, M, 5013
1973, 8, 10, M, 5014
1979, 11, 1, M, 5014
1979, 12, 7, M, 5014
1984, 4, 3, M, 5014
1988, 7, 2, M, 5014
1979, 6, 15, M, 5015
1979, 6, 21, M, 5015
1979, 8, 13, M, 5015
1970, 1, 9, M, 5016
1970, 9, 27, M, 5016
1979, 2, 15, M, 5016
1980, 4, 24, M, 5016
1972, 9, 27, M, 5017
1977, 6, 23, M, 5017
1978, 8, 31, M, 5017
1979, 12, 13, M, 5017
1980, 2, 13, M, 5017
1971, 3, 18, M, 5018
1977, 4, 12, M, 5018
1972, 12, 12, M, 5020
1978, 12, 27, M, 5020
1972, 8, 1, M, 5022
1981, 4, 24, M, 5022
1972, 9, 18, M, 5023
1977, 4, 19, M, 5023
1984, 1, 30, M, 5023
1969, 10, 23, M, 5024
1970, 1, 29, M, 5024
1970, 5, 14, M, 5024
1971, 1, 23, M, 5024
1971, 6, 8, M, 5024
1971, 11, 2, M, 5024
1977, 2, 22, M, 5024
1977, 5, 24, M, 5024
1980, 3, 20, M, 5024
1974, 9, 4, M, 5025
1977, 5, 27, M, 5025
1977, 12, 28, M, 5025
1971, 5, 28, M, 5026
1979, 5, 9, M, 5026
1981, 5, 6, M, 5026
1976, 12, 20, M, 5027
1977, 10, 18, M, 5027
1978, 10, 2, M, 5027
1979, 3, 6, M, 5027
1979, 4, 17, M, 5027
1984, 9, 29, M, 5027
1985, 8, 17, M, 5027
1969, 2, 19, M, 5028
1969, 5, 2, M, 5028
1969, 8, 30, M, 5028
1972, 10, 10, M, 5028
1973, 9, 5, M, 5028
1978, 5, 31, M, 5028
1979, 10, 31, M, 5028
1975, 12, 31, M, 5029
1979, 5, 24, M, 5029
1969, 1, 17, M, 5030
1969, 2, 27, M, 5030
1971, 12, 15, M, 5030
1972, 1, 18, M, 5030
1974, 7, 9, M, 5030
1977, 5, 6, M, 5030
1982, 9, 11, M, 5030
1988, 8, 6, M, 5030
1977, 10, 25, M, 5031
1984, 1, 12, M, 5031
1985, 8, 31, M, 5031
1975, 9, 18, M, 5032
1974, 10, 4, M, 5033
1979, 2, 6, M, 5034
1979, 3, 22, M, 5034
1979, 3, 28, M, 5035
1969, 4, 16, M, 5036
1969, 4, 25, M, 5036
1969, 5, 23, M, 5036
1969, 12, 23, M, 5036
1976, 10, 20, M, 5036
1977, 8, 15, M, 5036
1978, 6, 27, M, 5036
1972, 2, 14, M, 5037
1975, 9, 30, M, 5037
1981, 10, 26, M, 5037
1969, 6, 23, M, 5038
1974, 10, 8, M, 5038
1979, 3, 1, M, 5038
1979, 6, 12, M, 5038
1978, 6, 28, M, 5039
1969, 4, 18, M, 5040
1971, 11, 1, M, 5040
1974, 10, 3, M, 5041
1979, 2, 16, M, 5041
1988, 8, 13, M, 5041
1971, 4, 5, M, 5042
1979, 5, 25, M, 5042
1980, 12, 11, M, 5042
1969, 4, 17, M, 5044
1971, 5, 24, M, 5044
1977, 6, 27, M, 5044
1984, 1, 23, M, 5044
1984, 1, 11, M, 5045
1987, 9, 26, M, 5045
1969, 1, 24, M, 5046
1969, 1, 27, M, 5046
1977, 7, 27, M, 5046
1970, 5, 11, M, 5048
1970, 5, 25, M, 5048
1976, 8, 10, M, 5048
1977, 7, 28, M, 5048
1980, 1, 17, M, 5048
1988, 7, 16, M, 5048
1976, 8, 24, M, 5050
1972, 7, 25, M, 5051
1978, 7, 31, M, 5051
1979, 1, 26, M, 5051
1984, 12, 26, M, 5051
1969, 7, 26, M, 5052
1970, 3, 26, M, 5052
1971, 11, 29, M, 5052
1977, 9, 12, M, 5052
1974, 7, 30, M, 5053
1977, 6, 17, M, 5053
1979, 1, 23, M, 5053
1969, 2, 17, M, 5054
1970, 9, 20, M, 5054
1971, 4, 9, M, 5054
1971, 4, 29, M, 5054
1971, 6, 9, M, 5054
1974, 8, 30, M, 5054
1981, 7, 3, M, 5054
1972, 2, 22, M, 5055
1979, 5, 11, M, 5055
1970, 1, 30, M, 5056
1971, 1, 7, M, 5056
1971, 4, 12, M, 5056
1971, 6, 14, M, 5056
1974, 8, 15, M, 5056
1979, 6, 5, M, 5056
1983, 12, 2, M, 5056
1984, 4, 5, M, 5056
1972, 9, 11, M, 5057
1974, 7, 2, M, 5057
1974, 8, 21, M, 5057
1974, 10, 11, M, 5057
1975, 7, 22, M, 5057
1978, 2, 28, M, 5057
1981, 5, 20, M, 5057
1969, 5, 6, M, 5058
1977, 7, 21, M, 5058
1978, 11, 3, M, 5058
1980, 3, 10, M, 5058
1979, 3, 9, M, 5059
1969, 2, 11, M, 5060
1971, 3, 25, M, 5060
1971, 6, 1, M, 5060
1971, 10, 20, M, 5060
1972, 12, 29, M, 5060
1976, 9, 29, M, 5060
1979, 3, 23, M, 5060
1984, 1, 4, M, 5060
1974, 12, 30, M, 5061
1975, 8, 15, M, 5061
1978, 10, 11, M, 5061
1980, 1, 16, M, 5061
1969, 2, 20, M, 5062
1977, 9, 29, M, 5062
1975, 7, 29, M, 5063
1981, 4, 15, M, 5063
1969, 3, 6, M, 5064
1970, 11, 21, M, 5064
1976, 9, 23, M, 5064
1977, 10, 6, M, 5064
1979, 5, 8, M, 5064
1979, 6, 18, M, 5064
1981, 4, 1, M, 5065
1979, 6, 1, M, 5066
1981, 12, 23, M, 5066
1982, 4, 21, M, 5066
1969, 5, 21, M, 5068
1971, 4, 21, M, 5068
1971, 5, 19, M, 5068
1977, 8, 17, M, 5068
1981, 4, 27, M, 5068
1979, 5, 7, M, 5069
1984, 5, 14, M, 5069
1969, 3, 21, M, 5070
1969, 3, 27, M, 5070
1971, 5, 17, M, 5070
1980, 12, 4, M, 5070
1984, 1, 16, M, 5070
1978, 12, 18, M, 5071
1980, 4, 10, M, 5071
1981, 6, 18, M, 5071
1969, 3, 24, M, 5072
1969, 4, 11, M, 5072
1969, 11, 13, M, 5072
1971, 1, 30, M, 5072
1971, 6, 11, M, 5072
1971, 10, 22, M, 5072
1977, 2, 14, M, 5072
1982, 1, 15, M, 5072
1974, 9, 6, M, 5073
1977, 7, 18, M, 5073
1979, 12, 5, M, 5073
1980, 5, 15, M, 5073
1983, 1, 5, M, 5073
1984, 10, 31, M, 5073
1969, 3, 20, M, 5074
1970, 3, 31, M, 5074
1974, 9, 13, M, 5074
1978, 7, 11, M, 5074
1984, 9, 22, M, 5074
1977, 2, 25, M, 5075
1979, 3, 8, M, 5075
1980, 5, 14, M, 5075
1980, 11, 13, M, 5075
1969, 1, 13, M, 5076
1969, 3, 10, M, 5076
1969, 5, 5, M, 5076
1970, 4, 17, M, 5076
1970, 4, 27, M, 5076
1974, 9, 19, M, 5076
1975, 9, 16, M, 5076
1977, 8, 29, M, 5076
1980, 6, 11, M, 5076
1981, 4, 2, M, 5076
1974, 9, 11, M, 5077
1976, 9, 30, M, 5077
1977, 9, 1, M, 5077
1980, 1, 15, M, 5077
1982, 9, 25, M, 5077
1986, 9, 27, M, 5077
1969, 4, 29, M, 5078
1976, 9, 20, M, 5079
1978, 7, 24, M, 5079
1979, 10, 29, M, 5079
1979, 12, 6, M, 5079
1969, 6, 13, M, 5080
1970, 7, 25, M, 5080
1971, 5, 14, M, 5080
1973, 7, 17, M, 5080
1976, 8, 12, M, 5080
1977, 8, 18, M, 5080
1984, 2, 6, M, 5080
1977, 7, 13, M, 5081
1978, 8, 23, M, 5081
1980, 6, 13, M, 5081
1981, 12, 4, M, 5081
1988, 7, 23, M, 5081
1969, 10, 16, M, 5082
1971, 11, 3, M, 5082
1980, 4, 3, M, 5082
1981, 2, 27, M, 5082
1978, 5, 30, M, 5083
1981, 12, 7, M, 5083
1969, 12, 26, M, 5084
1971, 4, 16, M, 5084
1978, 8, 2, M, 5085
1979, 2, 2, M, 5085
1983, 1, 6, M, 5085
1983, 1, 7, M, 5085
1984, 4, 9, M, 5085
1985, 4, 1, M, 5085
1969, 5, 13, M, 5086
1971, 4, 23, M, 5086
1974, 7, 3, M, 5086
1974, 9, 9, M, 5086
1988, 10, 31, M, 5086
1976, 9, 16, M, 5087
1980, 1, 3, M, 5087
1982, 12, 9, M, 5087
1969, 1, 22, M, 5088
1969, 3, 5, M, 5088
1969, 5, 26, M, 5088
1969, 5, 27, M, 5088
1969, 6, 4, M, 5088
1977, 10, 3, M, 5088
1979, 5, 23, M, 5088
1980, 3, 27, M, 5088
1980, 11, 20, M, 5088
1973, 7, 31, M, 5089
1969, 10, 24, M, 5090
1979, 2, 20, M, 5090
1979, 6, 14, M, 5090
1979, 11, 28, M, 5090
1980, 4, 7, M, 5091
1988, 9, 3, M, 5091
1969, 1, 7, M, 5092
1969, 3, 11, M, 5092
1970, 12, 12, M, 5092
1974, 10, 2, M, 5092
1976, 9, 15, M, 5092
1975, 9, 19, M, 5093
1970, 4, 8, M, 5094
1970, 5, 20, M, 5094
1977, 8, 31, M, 5094
1980, 4, 25, M, 5094
1980, 5, 16, M, 5094
1977, 8, 1, M, 5095
1981, 3, 19, M, 5095
1981, 5, 7, M, 5095
1969, 1, 15, M, 5096
1969, 3, 19, M, 5096
1970, 4, 6, M, 5096
1971, 6, 22, M, 5096
1969, 3, 14, M, 5098
1970, 2, 6, M, 5098
1971, 3, 26, M, 5098
1975, 7, 23, M, 5098
1979, 5, 22, M, 5098
1973, 9, 26, M, 5099
1980, 1, 24, M, 5099
1980, 4, 28, M, 5099
1970, 2, 12, M, 5100
1970, 4, 9, M, 5100
1971, 11, 17, M, 5100
1982, 4, 22, M, 5100
1979, 11, 9, M, 5101
1984, 1, 26, M, 5101
1969, 10, 13, M, 5102
1970, 4, 21, M, 5102
1976, 10, 1, M, 5102
1980, 1, 7, M, 5103
1984, 4, 23, M, 5103
1969, 4, 9, M, 5104
1979, 11, 26, M, 5104
1980, 1, 28, M, 5104
1983, 11, 11, M, 5104
1977, 12, 30, M, 5105
1980, 6, 2, M, 5105
1980, 10, 31, M, 5105
1982, 4, 23, M, 5105
1984, 1, 6, M, 5105
1984, 3, 9, M, 5105
1970, 5, 8, M, 5106
1971, 6, 2, M, 5106
1971, 11, 12, M, 5106
1976, 12, 30, M, 5107
1979, 6, 19, M, 5107
1980, 2, 6, M, 5107
1981, 5, 12, M, 5107
1971, 12, 30, M, 5108
1979, 1, 16, M, 5108
1984, 2, 9, M, 5108
1984, 4, 25, M, 5108
1985, 12, 26, M, 5108
1976, 7, 7, M, 5109
1976, 9, 24, M, 5109
1969, 2, 3, M, 5110
1969, 8, 2, M, 5110
1969, 9, 20, M, 5110
1969, 11, 28, M, 5110
1970, 1, 7, M, 5110
1970, 7, 18, M, 5110
1977, 7, 25, M, 5110
1977, 8, 25, M, 5110
1979, 1, 19, M, 5110
1981, 12, 10, M, 5110
1986, 9, 20, M, 5110
1988, 12, 23, M, 5110
1978, 8, 25, M, 5112
1976, 9, 27, M, 5113
1979, 11, 7, M, 5113
1980, 5, 12, M, 5113
1981, 1, 12, M, 5113
1971, 12, 7, M, 5114
1976, 12, 29, M, 5114
1978, 10, 13, M, 5114
1978, 11, 21, M, 5114
1980, 3, 4, M, 5114
1980, 6, 12, M, 5114
1980, 10, 23, M, 5114
1983, 1, 31, M, 5114
1981, 2, 5, M, 5115
1969, 6, 16, M, 5116
1980, 2, 1, M, 5116
1983, 5, 13, M, 5116
1983, 11, 2, M, 5116
1987, 4, 1, M, 5116
1985, 2, 18, M, 5117
1971, 10, 29, M, 5118
1979, 6, 6, M, 5118
1979, 12, 14, M, 5118
1980, 2, 8, M, 5118
1980, 3, 26, M, 5118
1982, 12, 2, M, 5118
1984, 2, 1, M, 5118
1979, 6, 20, M, 5119
1979, 12, 20, M, 5119
1979, 12, 21, M, 5119
1982, 1, 13, M, 5119
1987, 11, 27, M, 5119
1970, 3, 2, M, 5120
1971, 6, 3, M, 5120
1978, 10, 5, M, 5120
1982, 1, 4, M, 5120
1984, 4, 19, M, 5120
1980, 12, 10, M, 5121
1980, 12, 12, M, 5121
1983, 1, 19, M, 5121
1971, 7, 6, M, 5122
1978, 7, 26, M, 5122
1984, 1, 20, M, 5122
1977, 3, 1, M, 5123
1979, 10, 24, M, 5123
1980, 4, 11, M, 5123
1982, 12, 6, M, 5123
1969, 8, 9, M, 5124
1970, 2, 13, M, 5124
1970, 7, 11, M, 5124
1982, 12, 13, M, 5124
1978, 12, 12, M, 5125
1983, 1, 10, M, 5125
1988, 9, 24, M, 5125
1969, 6, 2, M, 5126
1969, 6, 19, M, 5126
1976, 10, 5, M, 5126
1977, 8, 22, M, 5126
1979, 12, 10, M, 5126
1980, 5, 19, M, 5126
1981, 3, 12, M, 5126
1974, 9, 18, M, 5127
1979, 10, 26, M, 5127
1979, 11, 19, M, 5127
1971, 2, 15, M, 5128
1983, 1, 17, M, 5128
1981, 1, 30, M, 5129
1981, 5, 8, M, 5129
1984, 5, 31, M, 5129
1971, 4, 14, M, 5130
1971, 11, 18, M, 5130
1972, 1, 25, M, 5130
1972, 12, 27, M, 5130
1977, 7, 12, M, 5130
1978, 11, 17, M, 5130
1982, 4, 1, M, 5130
1983, 12, 9, M, 5130
1977, 10, 11, M, 5131
1979, 4, 24, M, 5131
1980, 3, 31, M, 5131
1984, 2, 7, M, 5131
1984, 4, 16, M, 5131
1971, 6, 29, M, 5132
1971, 10, 26, M, 5132
1976, 12, 21, M, 5132
1980, 2, 26, M, 5132
1982, 3, 22, M, 5132
1982, 12, 3, M, 5132
1983, 5, 9, M, 5132
1978, 8, 30, M, 5133
1978, 9, 11, M, 5133
1984, 12, 31, M, 5133
1970, 1, 5, M, 5134
1977, 9, 22, M, 5134
1980, 2, 11, M, 5134
1981, 2, 26, M, 5134
1987, 1, 19, M, 5134
1977, 8, 3, M, 5135
1977, 8, 24, M, 5135
1984, 2, 2, M, 5135
1988, 9, 10, M, 5135
1977, 10, 7, M, 5136
1980, 6, 5, M, 5136
1979, 11, 5, M, 5137
1981, 4, 8, M, 5137
1981, 10, 29, M, 5137
1983, 1, 24, M, 5137
1971, 10, 18, M, 5138
1980, 3, 19, M, 5139
1980, 9, 20, M, 5139
1981, 1, 7, M, 5139
1983, 11, 3, M, 5139
1988, 7, 9, M, 5139
1971, 10, 13, M, 5140
1971, 11, 9, M, 5140
1977, 9, 28, M, 5140
1984, 2, 13, M, 5140
1978, 8, 4, M, 5141
1980, 10, 13, M, 5141
1981, 6, 1, M, 5141
1984, 3, 29, M, 5141
1969, 6, 6, M, 5142
1970, 3, 27, M, 5142
1979, 6, 26, M, 5142
1980, 4, 4, M, 5142
1972, 9, 14, M, 5143
1973, 7, 3, M, 5143
1981, 3, 23, M, 5143
1985, 11, 29, M, 5143
1969, 6, 17, M, 5144
1971, 2, 10, M, 5144
1979, 6, 28, M, 5144
1980, 4, 21, M, 5144
1984, 1, 5, M, 5144
1980, 12, 23, M, 5145
1981, 2, 6, M, 5145
1971, 6, 28, M, 5146
1971, 7, 19, M, 5146
1971, 8, 16, M, 5146
1972, 9, 19, M, 5146
1977, 8, 26, M, 5146
1979, 7, 2, M, 5146
1982, 12, 10, M, 5146
1983, 4, 1, M, 5146
1980, 6, 4, M, 5147
1982, 4, 12, M, 5147
1982, 3, 1, M, 5148
1984, 4, 18, M, 5148
1985, 4, 8, M, 5148
1969, 11, 6, M, 5150
1980, 12, 1, M, 5150
1982, 4, 29, M, 5150
1983, 3, 24, M, 5150
1977, 7, 26, M, 5151
1977, 12, 19, M, 5151
1981, 11, 13, M, 5151
1984, 6, 4, M, 5151
1980, 1, 22, M, 5152
1980, 4, 23, M, 5152
1981, 5, 1, M, 5152
1984, 5, 24, M, 5152
1988, 7, 30, M, 5152
1980, 10, 22, M, 5153
1984, 4, 27, M, 5153
1987, 1, 5, M, 5153
1983, 11, 10, M, 5154
1984, 1, 31, M, 5154
1984, 2, 8, M, 5154
1973, 8, 14, M, 5155
1976, 9, 9, M, 5155
1982, 4, 27, M, 5155
1984, 4, 2, M, 5155
1986, 1, 8, M, 5155
1971, 4, 26, M, 5156
1971, 6, 7, M, 5156
1977, 9, 2, M, 5156
1978, 10, 6, M, 5156
1981, 2, 4, M, 5156
1981, 6, 11, M, 5156
1977, 9, 19, M, 5157
1980, 3, 5, M, 5157
1982, 4, 7, M, 5157
1982, 4, 9, M, 5157
1983, 1, 4, M, 5157
1970, 10, 29, M, 5158
1970, 11, 27, M, 5158
1971, 12, 20, M, 5158
1978, 7, 19, M, 5158
1978, 8, 10, M, 5159
1978, 8, 28, M, 5159
1980, 3, 18, M, 5159
1985, 1, 9, M, 5159
1978, 7, 10, M, 5160
1979, 10, 15, M, 5160
1981, 1, 23, M, 5160
1976, 9, 10, M, 5161
1977, 7, 8, M, 5161
1980, 3, 3, M, 5161
1969, 2, 7, M, 5162
1980, 3, 6, M, 5162
1981, 3, 13, M, 5162
1970, 4, 1, M, 5164
1971, 7, 15, M, 5164
1979, 10, 17, M, 5164
1980, 11, 6, M, 5164
1972, 8, 29, M, 5165
1972, 9, 12, M, 5165
1978, 11, 14, M, 5165
1979, 7, 5, M, 5165
1981, 1, 15, M, 5165
1970, 5, 1, M, 5166
1971, 6, 30, M, 5166
1977, 12, 20, M, 5166
1979, 2, 14, M, 5166
1980, 2, 19, M, 5166
1981, 2, 11, M, 5166
1982, 1, 28, M, 5167
1984, 1, 19, M, 5167
1969, 2, 24, M, 5168
1970, 2, 23, M, 5168
1977, 3, 8, M, 5168
1977, 9, 14, M, 5168
1978, 9, 5, M, 5168
1979, 6, 27, M, 5168
1980, 1, 29, M, 5169
1982, 5, 13, M, 5169
1985, 1, 3, M, 5169
1970, 4, 10, M, 5170
1971, 10, 15, M, 5170
1978, 8, 9, M, 5170
1978, 12, 20, M, 5170
1979, 6, 22, M, 5170
1980, 4, 16, M, 5170
1982, 2, 1, M, 5170
1978, 6, 30, M, 5171
1978, 8, 16, M, 5171
1980, 2, 25, M, 5171
1980, 12, 22, M, 5171
1982, 1, 25, M, 5171
1986, 11, 13, M, 5171
1969, 1, 28, M, 5172
1984, 4, 30, M, 5172
1978, 8, 3, M, 5173
1980, 5, 30, M, 5173
1981, 4, 29, M, 5173
1982, 1, 27, M, 5173
1980, 2, 15, M, 5174
1981, 11, 9, M, 5174
1979, 10, 8, M, 5175
1981, 12, 3, M, 5175
1970, 6, 8, M, 5176
1971, 1, 4, M, 5176
1971, 10, 7, M, 5176
1979, 3, 27, M, 5176
1981, 1, 22, M, 5176
1974, 9, 10, M, 5177
1981, 4, 23, M, 5177
1970, 1, 19, M, 5178
1970, 6, 15, M, 5178
1979, 11, 8, M, 5178
1982, 12, 22, M, 5178
1972, 8, 15, M, 5179
1974, 8, 16, M, 5179
1977, 7, 22, M, 5179
1980, 1, 18, M, 5179
1982, 2, 26, M, 5179
1984, 1, 17, M, 5179
1984, 5, 10, M, 5179
1969, 10, 30, M, 5180
1970, 3, 12, M, 5180
1970, 4, 3, M, 5180
1970, 5, 13, M, 5180
1970, 5, 18, M, 5180
1971, 5, 4, M, 5180
1977, 9, 15, M, 5180
1980, 2, 21, M, 5180
1980, 11, 12, M, 5180
1984, 12, 7, M, 5180
1986, 1, 9, M, 5180
1979, 10, 16, M, 5181
1980, 1, 4, M, 5181
1980, 2, 7, M, 5181
1983, 2, 21, M, 5181
1970, 1, 15, M, 5182
1971, 10, 21, M, 5182
1971, 11, 30, M, 5182
1973, 12, 28, M, 5182
1980, 4, 14, M, 5182
1980, 5, 6, M, 5183
1981, 3, 26, M, 5183
1969, 9, 27, M, 5184
1969, 10, 29, M, 5184
1977, 7, 14, M, 5185
1985, 9, 21, M, 5185
1969, 11, 14, M, 5186
1969, 11, 20, M, 5186
1971, 12, 17, M, 5186
1977, 9, 6, M, 5186
1978, 8, 21, M, 5186
1980, 4, 9, M, 5186
1988, 11, 25, M, 5186
1981, 5, 14, M, 5187
1969, 11, 5, M, 5188
1970, 1, 21, M, 5188
1970, 1, 26, M, 5188
1970, 3, 20, M, 5188
1971, 11, 22, M, 5188
1971, 11, 23, M, 5188
1975, 9, 12, M, 5188
1983, 12, 5, M, 5188
1979, 10, 11, M, 5189
1984, 12, 6, M, 5189
1985, 1, 28, M, 5189
1969, 1, 10, M, 5190
1969, 6, 11, M, 5190
1970, 1, 23, M, 5190
1970, 5, 5, M, 5190
1970, 5, 28, M, 5190
1977, 7, 29, M, 5190
1980, 4, 2, M, 5190
1980, 5, 1, M, 5190
1981, 12, 16, M, 5190
1976, 9, 17, M, 5191
1980, 3, 7, M, 5191
1981, 12, 9, M, 5191
1981, 12, 14, M, 5191
1984, 3, 26, M, 5191
1977, 8, 8, M, 5192
1979, 10, 25, M, 5192
1983, 11, 4, M, 5192
1974, 8, 6, M, 5193
1980, 3, 14, M, 5193
1980, 5, 2, M, 5193
1985, 1, 8, M, 5193
1988, 1, 4, M, 5193
1969, 3, 3, M, 5194
1971, 7, 8, M, 5194
1974, 9, 27, M, 5195
1979, 11, 15, M, 5195
1982, 4, 14, M, 5195
1980, 6, 16, M, 5196
1981, 1, 28, M, 5196
1985, 10, 31, M, 5196
1975, 9, 23, M, 5197
1979, 5, 1, M, 5197
1983, 3, 11, M, 5197
1971, 12, 10, M, 5198
1978, 7, 27, M, 5198
1979, 12, 12, M, 5198
1982, 3, 11, M, 5198
1983, 4, 18, M, 5198
1983, 11, 14, M, 5198
1981, 4, 10, M, 5199
1983, 6, 6, M, 5199
1969, 2, 4, M, 5200
1969, 11, 26, M, 5200
1978, 12, 15, M, 5200
1980, 4, 29, M, 5200
1974, 7, 23, M, 5201
1977, 6, 28, M, 5201
1981, 1, 13, M, 5201
1981, 1, 21, M, 5201
1981, 12, 31, M, 5201
1983, 12, 8, M, 5201
1984, 11, 7, M, 5201
1971, 7, 2, M, 5202
1971, 8, 30, M, 5202
1975, 12, 30, M, 5202
1980, 12, 5, M, 5202
1982, 1, 8, M, 5202
1987, 2, 13, M, 5202
1976, 9, 14, M, 5203
1977, 8, 12, M, 5203
1980, 3, 12, M, 5203
1983, 1, 20, M, 5203
1970, 1, 6, M, 5204
1970, 2, 16, M, 5204
1970, 2, 26, M, 5204
1970, 6, 4, M, 5204
1971, 10, 11, M, 5204
1971, 12, 21, M, 5204
1974, 9, 25, M, 5204
1975, 7, 8, M, 5204
1980, 1, 14, M, 5204
1980, 3, 28, M, 5204
1979, 10, 10, M, 5205
1980, 1, 11, M, 5205
1971, 8, 25, M, 5206
1980, 5, 29, M, 5206
1982, 1, 5, M, 5206
1983, 5, 4, M, 5206
1981, 3, 2, M, 5207
1981, 3, 25, M, 5207
1981, 4, 6, M, 5207
1981, 4, 22, M, 5207
1984, 12, 5, M, 5207
1986, 10, 31, M, 5207
1969, 4, 23, M, 5208
1970, 5, 21, M, 5208
1979, 11, 14, M, 5208
1983, 12, 1, M, 5208
1985, 12, 13, M, 5208
1977, 7, 20, M, 5209
1979, 2, 23, M, 5209
1979, 11, 2, M, 5209
1982, 12, 8, M, 5209
1969, 2, 26, M, 5210
1969, 4, 22, M, 5210
1970, 2, 9, M, 5210
1972, 12, 28, M, 5210
1976, 12, 28, M, 5210
1981, 10, 19, M, 5210
1984, 5, 16, M, 5210
1973, 9, 25, M, 5211
1976, 9, 28, M, 5211
1978, 8, 24, M, 5211
1978, 12, 28, M, 5211
1969, 4, 2, M, 5212
1969, 7, 21, M, 5212
1969, 12, 4, M, 5212
1971, 8, 6, M, 5212
1974, 8, 13, M, 5212
1977, 8, 10, M, 5212
1980, 11, 19, M, 5213
1984, 5, 11, M, 5213
1969, 2, 18, M, 5214
1970, 4, 28, M, 5214
1971, 6, 4, M, 5214
1971, 11, 19, M, 5214
1981, 2, 9, M, 5215
1982, 1, 18, M, 5215
1986, 1, 13, M, 5215
1970, 12, 23, M, 5216
1971, 3, 15, M, 5216
1977, 8, 2, M, 5216
1978, 7, 17, M, 5216
1983, 5, 18, M, 5216
